46
AMS (Amsterdam)
ATH(Athens)
BEG (Belgrad)
BHX (Birmingham)
BLL (Billund)
BRQ(BRNO)
BRU (Brussels)
BSL (Basel)
BTS (Bratislava)
BUD (Budapest)
BUH (Bucharest)
CPH (Copenhagen)
CVT (Coventry)
DUS (Dusseldorf)
FAG (Fagersta)
FRA (Frankfurt)
GOT (Gothenburg)
GRZ (Graz)
HEL (Helsinki)
INN (Innsbruck)
LIL(LILLE)
LIS (Lisbon)
LJU (Ljubljana)
LNZ (Linz)
LUX (Luxembourg)
LYS (Lyon)
MAD (Madrid)
MIL (Milano)
MMA (Malmoe)
MSQ (Minsk)
ORB (Orebro)
OSL (Oslo)
PAR (Paris)
PRG (Prague)
RIX (Riga)
SJJ (Sarajevo)
SKP (Skopje)
SOF (Sofia)
STO (Stockholm)
SZG (Salzburg)
TLL (Talinn)
TLL (Tallinn)
VFQ (Vienna)
VNO (Vilnius)
WAW (Warszawa)
ZAG (Zagreb)
